[DMH_INCIDENT].[FechaHoraID].[FechaHoraID].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[FechaHoraID].[FechaHoraID].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[FechaHoraID].&[2020011112],2020011112,424
[DMH_INCIDENT].[FechaHoraID].&[2020011113],2020011113,464
[DMH_INCIDENT].[FechaHoraID].&[2020011114],2020011114,486
[DMH_INCIDENT].[FechaHoraID].&[2020011115],2020011115,455
[DMH_INCIDENT].[FechaHoraID].&[2020011116],2020011116,474
[DMH_INCIDENT].[FechaHoraID].&[2020011117],2020011117,501
[DMH_INCIDENT].[FechaHoraID].&[2020011118],2020011118,565
[DMH_INCIDENT].[FechaHoraID].&[2020011119],2020011119,695
[DMH_INCIDENT].[FechaHoraID].&[2020011120],2020011120,731
[DMH_INCIDENT].[FechaHoraID].&[2020011121],2020011121,732
[DMH_INCIDENT].[FechaHoraID].&[2020011122],2020011122,974
[DMH_INCIDENT].[FechaHoraID].&[2020011123],2020011123,907
[DMH_INCIDENT].[FechaHoraID].&[2020011200],2020011200,859
[DMH_INCIDENT].[FechaHoraID].&[2020011201],2020011201,819
[DMH_INCIDENT].[FechaHoraID].&[2020011202],2020011202,898
[DMH_INCIDENT].[FechaHoraID].&[2020011203],2020011203,863
[DMH_INCIDENT].[FechaHoraID].&[2020011204],2020011204,565
[DMH_INCIDENT].[FechaHoraID].&[2020011205],2020011205,401
[DMH_INCIDENT].[FechaHoraID].&[2020011206],2020011206,355
[DMH_INCIDENT].[FechaHoraID].&[2020011207],2020011207,330
[DMH_INCIDENT].[FechaHoraID].&[2020011208],2020011208,365
[DMH_INCIDENT].[FechaHoraID].&[2020011209],2020011209,414
[DMH_INCIDENT].[FechaHoraID].&[2020011210],2020011210,384
[DMH_INCIDENT].[FechaHoraID].&[2020011211],2020011211,466
[DMH_INCIDENT].[FechaHoraID].&[2020011212],2020011212,456
[DMH_INCIDENT].[FechaHoraID].&[2020011213],2020011213,429
[DMH_INCIDENT].[FechaHoraID].&[2020011214],2020011214,544
[DMH_INCIDENT].[FechaHoraID].&[2020011215],2020011215,494
[DMH_INCIDENT].[FechaHoraID].&[2020011216],2020011216,486
[DMH_INCIDENT].[FechaHoraID].&[2020011217],2020011217,537
[DMH_INCIDENT].[FechaHoraID].&[2020011218],2020011218,609
[DMH_INCIDENT].[FechaHoraID].&[2020011219],2020011219,697
[DMH_INCIDENT].[FechaHoraID].&[2020011220],2020011220,768
[DMH_INCIDENT].[FechaHoraID].&[2020011221],2020011221,726
[DMH_INCIDENT].[FechaHoraID].&[2020011222],2020011222,788
[DMH_INCIDENT].[FechaHoraID].&[2020011223],2020011223,589
[DMH_INCIDENT].[FechaHoraID].&[2020011300],2020011300,492
[DMH_INCIDENT].[FechaHoraID].&[2020011301],2020011301,310
[DMH_INCIDENT].[FechaHoraID].&[2020011302],2020011302,209
[DMH_INCIDENT].[FechaHoraID].&[2020011303],2020011303,149
[DMH_INCIDENT].[FechaHoraID].&[2020011304],2020011304,106
[DMH_INCIDENT].[FechaHoraID].&[2020011305],2020011305,99
[DMH_INCIDENT].[FechaHoraID].&[2020011306],2020011306,217
[DMH_INCIDENT].[FechaHoraID].&[2020011307],2020011307,257
[DMH_INCIDENT].[FechaHoraID].&[2020011308],2020011308,321
[DMH_INCIDENT].[FechaHoraID].&[2020011309],2020011309,439
[DMH_INCIDENT].[FechaHoraID].&[2020011310],2020011310,470
[DMH_INCIDENT].[FechaHoraID].&[2020011311],2020011311,477
[DMH_INCIDENT].[FechaHoraID].&[2020011312],2020011312,464
[DMH_INCIDENT].[FechaHoraID].&[2020011313],2020011313,412
[DMH_INCIDENT].[FechaHoraID].&[2020011314],2020011314,547
[DMH_INCIDENT].[FechaHoraID].&[2020011315],2020011315,494
[DMH_INCIDENT].[FechaHoraID].&[2020011316],2020011316,431
[DMH_INCIDENT].[FechaHoraID].&[2020011317],2020011317,441
[DMH_INCIDENT].[FechaHoraID].&[2020011318],2020011318,427
[DMH_INCIDENT].[FechaHoraID].&[2020011319],2020011319,513
[DMH_INCIDENT].[FechaHoraID].&[2020011320],2020011320,459
[DMH_INCIDENT].[FechaHoraID].&[2020011321],2020011321,489
[DMH_INCIDENT].[FechaHoraID].&[2020011322],2020011322,460
[DMH_INCIDENT].[FechaHoraID].&[2020011323],2020011323,401
[DMH_INCIDENT].[FechaHoraID].&[2020011400],2020011400,334
[DMH_INCIDENT].[FechaHoraID].&[2020011401],2020011401,217
[DMH_INCIDENT].[FechaHoraID].&[2020011402],2020011402,152
[DMH_INCIDENT].[FechaHoraID].&[2020011403],2020011403,110
[DMH_INCIDENT].[FechaHoraID].&[2020011404],2020011404,76
[DMH_INCIDENT].[FechaHoraID].&[2020011405],2020011405,110
[DMH_INCIDENT].[FechaHoraID].&[2020011406],2020011406,213
[DMH_INCIDENT].[FechaHoraID].&[2020011407],2020011407,230
[DMH_INCIDENT].[FechaHoraID].&[2020011408],2020011408,338
[DMH_INCIDENT].[FechaHoraID].&[2020011409],2020011409,386
[DMH_INCIDENT].[FechaHoraID].&[2020011410],2020011410,453
[DMH_INCIDENT].[FechaHoraID].&[2020011411],2020011411,451
[DMH_INCIDENT].[FechaHoraID].&[2020011412],2020011412,462
[DMH_INCIDENT].[FechaHoraID].&[2020011413],2020011413,440
[DMH_INCIDENT].[FechaHoraID].&[2020011414],2020011414,466
[DMH_INCIDENT].[FechaHoraID].&[2020011415],2020011415,483
[DMH_INCIDENT].[FechaHoraID].&[2020011416],2020011416,453
[DMH_INCIDENT].[FechaHoraID].&[2020011417],2020011417,452
[DMH_INCIDENT].[FechaHoraID].&[2020011418],2020011418,455
[DMH_INCIDENT].[FechaHoraID].&[2020011419],2020011419,442
