[DIVPOL].[DPA_DESPAR].[DPA_DESPAR].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_DESPAR].[DPA_DESPAR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_DESPAR].&[FATIMA],FATIMA,2004
[DIVPOL].[DPA_DESPAR].&[FEBRES CORDERO (LAS JUNTAS)],FEBRES CORDERO (LAS JUNTAS),15350
[DIVPOL].[DPA_DESPAR].&[FERNANDEZ SALVADOR],FERNANDEZ SALVADOR,397
[DIVPOL].[DPA_DESPAR].&[FLAVIO ALFARO],FLAVIO ALFARO,8217
[DIVPOL].[DPA_DESPAR].&[FLORES],FLORES,579
[DIVPOL].[DPA_DESPAR].&[FUNDOCHAMBA],FUNDOCHAMBA,222
[DIVPOL].[DPA_DESPAR].&[GALERA],GALERA,377
[DIVPOL].[DPA_DESPAR].&[GARCIA MORENO],GARCIA MORENO,1045
[DIVPOL].[DPA_DESPAR].&[GARCIA MORENO (CHUMAQUI)],GARCIA MORENO (CHUMAQUI),3645
[DIVPOL].[DPA_DESPAR].&[GARCIA MORENO (LLURIMAGUA)],GARCIA MORENO (LLURIMAGUA),1074
[DIVPOL].[DPA_DESPAR].&[GARZAREAL],GARZAREAL,665
