[DIVPOL].[DPA_DESPAR].[DPA_DESPAR].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_DESPAR].[DPA_DESPAR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_DESPAR].&[TNTE. MAXIMILIANO RODRIGUEZ LOAIZA],TNTE. MAXIMILIANO RODRIGUEZ LOAIZA,169
[DIVPOL].[DPA_DESPAR].&[TOACASO],TOACASO,4293
[DIVPOL].[DPA_DESPAR].&[TOBAR DONOSO (LA BOCANA DE CAMUMBI)],TOBAR DONOSO (LA BOCANA DE CAMUMBI),22
[DIVPOL].[DPA_DESPAR].&[TOCACHI],TOCACHI,2598
[DIVPOL].[DPA_DESPAR].&[TOMAS DE BERLANGA (SANTO TOMAS)],TOMAS DE BERLANGA (SANTO TOMAS),300
[DIVPOL].[DPA_DESPAR].&[TOMEBAMBA],TOMEBAMBA,511
[DIVPOL].[DPA_DESPAR].&[TONCHIGUE],TONCHIGUE,9687
[DIVPOL].[DPA_DESPAR].&[TONSUPA],TONSUPA,20849
[DIVPOL].[DPA_DESPAR].&[TORATA],TORATA,1503
[DIVPOL].[DPA_DESPAR].&[TOSAGUA],TOSAGUA,19763
[DIVPOL].[DPA_DESPAR].&[TOTORAS],TOTORAS,16034
[DIVPOL].[DPA_DESPAR].&[TRES DE NOVIEMBRE],TRES DE NOVIEMBRE,1037
[DIVPOL].[DPA_DESPAR].&[TRIUNFO-DORADO],TRIUNFO-DORADO,1014
[DIVPOL].[DPA_DESPAR].&[TUFIÑO],TUFIÑO,5177
[DIVPOL].[DPA_DESPAR].&[TULCAN],TULCAN,160009
[DIVPOL].[DPA_DESPAR].&[TULULBI (CAB. EN RICAURTE)],TULULBI (CAB. EN RICAURTE),605
[DIVPOL].[DPA_DESPAR].&[TUMBABIRO],TUMBABIRO,2982
[DIVPOL].[DPA_DESPAR].&[TUMBACO],TUMBACO,105353
[DIVPOL].[DPA_DESPAR].&[TUNDAYME],TUNDAYME,922
[DIVPOL].[DPA_DESPAR].&[TUPIGACHI],TUPIGACHI,1909
[DIVPOL].[DPA_DESPAR].&[TURI],TURI,17766
[DIVPOL].[DPA_DESPAR].&[TURUPAMBA],TURUPAMBA,536
[DIVPOL].[DPA_DESPAR].&[TUTUPALI],TUTUPALI,73
[DIVPOL].[DPA_DESPAR].&[TUUTINENTZA],TUUTINENTZA,393
[DIVPOL].[DPA_DESPAR].&[ULBA],ULBA,5201
[DIVPOL].[DPA_DESPAR].&[UNAMUNCHO],UNAMUNCHO,4182
[DIVPOL].[DPA_DESPAR].&[UNION MILAGREÑA],UNION MILAGREÑA,589
[DIVPOL].[DPA_DESPAR].&[URBINA],URBINA,784
[DIVPOL].[DPA_DESPAR].&[URBINA (TAYA)],URBINA (TAYA),3612
[DIVPOL].[DPA_DESPAR].&[URCUQUI],URCUQUI,9422
[DIVPOL].[DPA_DESPAR].&[URDANETA (PAQUISHAPA)],URDANETA (PAQUISHAPA),1567
[DIVPOL].[DPA_DESPAR].&[UTUANA],UTUANA,405
[DIVPOL].[DPA_DESPAR].&[UYUMBICHO],UYUMBICHO,8047
[DIVPOL].[DPA_DESPAR].&[UZHCURRUMI],UZHCURRUMI,448
[DIVPOL].[DPA_DESPAR].&[VACAS GALINDO (EL CHURO) (CAB. EN SAN MIGUEL ALTO)],VACAS GALINDO (EL CHURO) (CAB. EN SAN MIGUEL ALTO),62
[DIVPOL].[DPA_DESPAR].&[VALDEZ (LIMONES)],VALDEZ (LIMONES),3384
[DIVPOL].[DPA_DESPAR].&[VALENCIA],VALENCIA,38943
[DIVPOL].[DPA_DESPAR].&[VALLADOLID],VALLADOLID,758
[DIVPOL].[DPA_DESPAR].&[VALLE],VALLE,25000
[DIVPOL].[DPA_DESPAR].&[VALLE DE LA VIRGEN],VALLE DE LA VIRGEN,2189
[DIVPOL].[DPA_DESPAR].&[VALLE HERMOSO],VALLE HERMOSO,9531
[DIVPOL].[DPA_DESPAR].&[VALPARAISO],VALPARAISO,93
[DIVPOL].[DPA_DESPAR].&[VELASCO IBARRA (CAB. EL EMPALME)],VELASCO IBARRA (CAB. EL EMPALME),61243
[DIVPOL].[DPA_DESPAR].&[VENTANAS],VENTANAS,79105
[DIVPOL].[DPA_DESPAR].&[VENTURA],VENTURA,427
[DIVPOL].[DPA_DESPAR].&[VERACRUZ (INDILLAMA) (CAB. EN INDILLAMA)],VERACRUZ (INDILLAMA) (CAB. EN INDILLAMA),2423
[DIVPOL].[DPA_DESPAR].&[VICENTINO],VICENTINO,367
[DIVPOL].[DPA_DESPAR].&[VICHE],VICHE,4611
[DIVPOL].[DPA_DESPAR].&[VICTORIA],VICTORIA,2673
[DIVPOL].[DPA_DESPAR].&[VICTORIA DEL PORTETE (IRQUIS)],VICTORIA DEL PORTETE (IRQUIS),4730
[DIVPOL].[DPA_DESPAR].&[VILCABAMBA (VICTORIA)],VILCABAMBA (VICTORIA),7279
[DIVPOL].[DPA_DESPAR].&[VILLA LA UNION (CAJABAMBA)],VILLA LA UNION (CAJABAMBA),10426
[DIVPOL].[DPA_DESPAR].&[VINCES],VINCES,58183
[DIVPOL].[DPA_DESPAR].&[VIRGEN DE FATIMA],VIRGEN DE FATIMA,30306
[DIVPOL].[DPA_DESPAR].&[VUELTA LARGA],VUELTA LARGA,3366
[DIVPOL].[DPA_DESPAR].&[WILFRIDO LOOR MOREIRA (MAICITO)],WILFRIDO LOOR MOREIRA (MAICITO),1363
[DIVPOL].[DPA_DESPAR].&[YAGUACHI VIEJO (CONE)],YAGUACHI VIEJO (CONE),7128
[DIVPOL].[DPA_DESPAR].&[YAMANA],YAMANA,635
[DIVPOL].[DPA_DESPAR].&[YANAYACU - MOCHAPATA (CAB. EN YANAYACU)],YANAYACU - MOCHAPATA (CAB. EN YANAYACU),1034
[DIVPOL].[DPA_DESPAR].&[YANGANA (ARSENIO CASTILLO)],YANGANA (ARSENIO CASTILLO),671
[DIVPOL].[DPA_DESPAR].&[YANTZAZA (YANZATZA)],YANTZAZA (YANZATZA),19728
[DIVPOL].[DPA_DESPAR].&[YARUQUI],YARUQUI,38004
[DIVPOL].[DPA_DESPAR].&[YASUNI],YASUNI,16
[DIVPOL].[DPA_DESPAR].&[YAUPI],YAUPI,236
[DIVPOL].[DPA_DESPAR].&[YUNGANZA (CAB EN EL ROSARIO)],YUNGANZA (CAB EN EL ROSARIO),1066
[DIVPOL].[DPA_DESPAR].&[ZAMBI],ZAMBI,130
[DIVPOL].[DPA_DESPAR].&[ZAMBIZA],ZAMBIZA,6677
[DIVPOL].[DPA_DESPAR].&[ZAMORA],ZAMORA,25127
[DIVPOL].[DPA_DESPAR].&[ZAPALLO],ZAPALLO,977
[DIVPOL].[DPA_DESPAR].&[ZAPOTAL],ZAPOTAL,16192
[DIVPOL].[DPA_DESPAR].&[ZAPOTILLO],ZAPOTILLO,6744
[DIVPOL].[DPA_DESPAR].&[ZARUMA],ZARUMA,13915
[DIVPOL].[DPA_DESPAR].&[ZHAGLLI (SHAGLLI )],ZHAGLLI (SHAGLLI ),249
[DIVPOL].[DPA_DESPAR].&[ZHIDMAD],ZHIDMAD,897
[DIVPOL].[DPA_DESPAR].&[ZHUD],ZHUD,1478
[DIVPOL].[DPA_DESPAR].&[ZUMBA],ZUMBA,7229
[DIVPOL].[DPA_DESPAR].&[ZUMBAHUA],ZUMBAHUA,3489
[DIVPOL].[DPA_DESPAR].&[ZUMBI],ZUMBI,5005
[DIVPOL].[DPA_DESPAR].&[ZUÑA (ZUÑAC)],ZUÑA (ZUÑAC),278
[DIVPOL].[DPA_DESPAR].&[ZURMI],ZURMI,544
[DIVPOL].[DPA_DESPAR].&,,4343
