[DMH_INCIDENT].[HoraId].[HoraId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[HoraId].[HoraId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[HoraId].&[000641],000641,291
[DMH_INCIDENT].[HoraId].&[000642],000642,294
[DMH_INCIDENT].[HoraId].&[000643],000643,294
[DMH_INCIDENT].[HoraId].&[000644],000644,295
[DMH_INCIDENT].[HoraId].&[000645],000645,287
[DMH_INCIDENT].[HoraId].&[000646],000646,293
[DMH_INCIDENT].[HoraId].&[000647],000647,300
[DMH_INCIDENT].[HoraId].&[000648],000648,280
[DMH_INCIDENT].[HoraId].&[000649],000649,294
[DMH_INCIDENT].[HoraId].&[000650],000650,318
[DMH_INCIDENT].[HoraId].&[000651],000651,303
[DMH_INCIDENT].[HoraId].&[000652],000652,290
[DMH_INCIDENT].[HoraId].&[000653],000653,303
[DMH_INCIDENT].[HoraId].&[000654],000654,294
[DMH_INCIDENT].[HoraId].&[000655],000655,302
[DMH_INCIDENT].[HoraId].&[000656],000656,300
[DMH_INCIDENT].[HoraId].&[000657],000657,312
[DMH_INCIDENT].[HoraId].&[000658],000658,320
[DMH_INCIDENT].[HoraId].&[000659],000659,352
[DMH_INCIDENT].[HoraId].&[000700],000700,269
[DMH_INCIDENT].[HoraId].&[000701],000701,312
[DMH_INCIDENT].[HoraId].&[000702],000702,283
[DMH_INCIDENT].[HoraId].&[000703],000703,276
[DMH_INCIDENT].[HoraId].&[000704],000704,280
[DMH_INCIDENT].[HoraId].&[000705],000705,304
[DMH_INCIDENT].[HoraId].&[000706],000706,289
[DMH_INCIDENT].[HoraId].&[000707],000707,301
[DMH_INCIDENT].[HoraId].&[000708],000708,289
[DMH_INCIDENT].[HoraId].&[000709],000709,337
[DMH_INCIDENT].[HoraId].&[000710],000710,289
[DMH_INCIDENT].[HoraId].&[000711],000711,283
[DMH_INCIDENT].[HoraId].&[000712],000712,276
[DMH_INCIDENT].[HoraId].&[000713],000713,301
[DMH_INCIDENT].[HoraId].&[000714],000714,304
[DMH_INCIDENT].[HoraId].&[000715],000715,282
[DMH_INCIDENT].[HoraId].&[000716],000716,302
[DMH_INCIDENT].[HoraId].&[000717],000717,271
[DMH_INCIDENT].[HoraId].&[000718],000718,282
[DMH_INCIDENT].[HoraId].&[000719],000719,306
[DMH_INCIDENT].[HoraId].&[000720],000720,294
[DMH_INCIDENT].[HoraId].&[000721],000721,312
[DMH_INCIDENT].[HoraId].&[000722],000722,268
[DMH_INCIDENT].[HoraId].&[000723],000723,324
[DMH_INCIDENT].[HoraId].&[000724],000724,291
[DMH_INCIDENT].[HoraId].&[000725],000725,312
[DMH_INCIDENT].[HoraId].&[000726],000726,308
[DMH_INCIDENT].[HoraId].&[000727],000727,267
[DMH_INCIDENT].[HoraId].&[000728],000728,300
[DMH_INCIDENT].[HoraId].&[000729],000729,308
[DMH_INCIDENT].[HoraId].&[000730],000730,319
[DMH_INCIDENT].[HoraId].&[000731],000731,287
[DMH_INCIDENT].[HoraId].&[000732],000732,287
[DMH_INCIDENT].[HoraId].&[000733],000733,299
[DMH_INCIDENT].[HoraId].&[000734],000734,303
[DMH_INCIDENT].[HoraId].&[000735],000735,305
[DMH_INCIDENT].[HoraId].&[000736],000736,324
[DMH_INCIDENT].[HoraId].&[000737],000737,274
[DMH_INCIDENT].[HoraId].&[000738],000738,308
[DMH_INCIDENT].[HoraId].&[000739],000739,291
[DMH_INCIDENT].[HoraId].&[000740],000740,294
[DMH_INCIDENT].[HoraId].&[000741],000741,292
[DMH_INCIDENT].[HoraId].&[000742],000742,272
[DMH_INCIDENT].[HoraId].&[000743],000743,279
[DMH_INCIDENT].[HoraId].&[000744],000744,277
[DMH_INCIDENT].[HoraId].&[000745],000745,261
[DMH_INCIDENT].[HoraId].&[000746],000746,277
[DMH_INCIDENT].[HoraId].&[000747],000747,273
[DMH_INCIDENT].[HoraId].&[000748],000748,301
[DMH_INCIDENT].[HoraId].&[000749],000749,281
[DMH_INCIDENT].[HoraId].&[000750],000750,298
[DMH_INCIDENT].[HoraId].&[000751],000751,298
[DMH_INCIDENT].[HoraId].&[000752],000752,310
[DMH_INCIDENT].[HoraId].&[000753],000753,288
[DMH_INCIDENT].[HoraId].&[000754],000754,299
[DMH_INCIDENT].[HoraId].&[000755],000755,266
[DMH_INCIDENT].[HoraId].&[000756],000756,287
