[DIVADM].[COD_SUBCIR].[COD_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[COD_SUBCIR].[COD_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[COD_SUBCIR].&[06D01C05S01],06D01C05S01,10146
[DIVADM].[COD_SUBCIR].&[06D01C06S01],06D01C06S01,20350
[DIVADM].[COD_SUBCIR].&[06D01C06S02],06D01C06S02,33721
[DIVADM].[COD_SUBCIR].&[06D01C07S01],06D01C07S01,18332
[DIVADM].[COD_SUBCIR].&[06D01C07S02],06D01C07S02,17402
[DIVADM].[COD_SUBCIR].&[06D01C08S01],06D01C08S01,22801
[DIVADM].[COD_SUBCIR].&[06D01C08S02],06D01C08S02,17663
[DIVADM].[COD_SUBCIR].&[06D01C09S01],06D01C09S01,8896
[DIVADM].[COD_SUBCIR].&[06D01C09S02],06D01C09S02,23276
[DIVADM].[COD_SUBCIR].&[06D01C10S01],06D01C10S01,37074
[DIVADM].[COD_SUBCIR].&[06D01C11S01],06D01C11S01,15622
[DIVADM].[COD_SUBCIR].&[06D01C11S02],06D01C11S02,49123
[DIVADM].[COD_SUBCIR].&[06D01C12S01],06D01C12S01,15219
[DIVADM].[COD_SUBCIR].&[06D01C13S01],06D01C13S01,3676
[DIVADM].[COD_SUBCIR].&[06D01C14S01],06D01C14S01,9860
[DIVADM].[COD_SUBCIR].&[06D01C15S01],06D01C15S01,6060
[DIVADM].[COD_SUBCIR].&[06D01C15S02],06D01C15S02,6197
[DIVADM].[COD_SUBCIR].&[06D01C16S01],06D01C16S01,3884
[DIVADM].[COD_SUBCIR].&[06D01C17S01],06D01C17S01,2817
[DIVADM].[COD_SUBCIR].&[06D01C17S02],06D01C17S02,1391
[DIVADM].[COD_SUBCIR].&[06D01C18S01],06D01C18S01,2393
[DIVADM].[COD_SUBCIR].&[06D01C19S01],06D01C19S01,589
[DIVADM].[COD_SUBCIR].&[06D01C19S02],06D01C19S02,15543
[DIVADM].[COD_SUBCIR].&[06D01C20S01],06D01C20S01,9156
[DIVADM].[COD_SUBCIR].&[06D01C20S02],06D01C20S02,587
[DIVADM].[COD_SUBCIR].&[06D02C01S01],06D02C01S01,3846
[DIVADM].[COD_SUBCIR].&[06D02C02S01],06D02C02S01,12142
[DIVADM].[COD_SUBCIR].&[06D02C03S01],06D02C03S01,881
[DIVADM].[COD_SUBCIR].&[06D02C04S01],06D02C04S01,3016
[DIVADM].[COD_SUBCIR].&[06D02C05S01],06D02C05S01,1730
[DIVADM].[COD_SUBCIR].&[06D02C06S01],06D02C06S01,8593
[DIVADM].[COD_SUBCIR].&[06D02C07S01],06D02C07S01,1772
[DIVADM].[COD_SUBCIR].&[06D03C01S01],06D03C01S01,11951
[DIVADM].[COD_SUBCIR].&[06D03C01S02],06D03C01S02,2411
[DIVADM].[COD_SUBCIR].&[06D03C02S01],06D03C02S01,11062
[DIVADM].[COD_SUBCIR].&[06D04C01S01],06D04C01S01,9598
[DIVADM].[COD_SUBCIR].&[06D04C02S01],06D04C02S01,828
[DIVADM].[COD_SUBCIR].&[06D04C03S01],06D04C03S01,2201
[DIVADM].[COD_SUBCIR].&[06D04C04S01],06D04C04S01,950
[DIVADM].[COD_SUBCIR].&[06D04C05S01],06D04C05S01,1424
[DIVADM].[COD_SUBCIR].&[06D04C06S01],06D04C06S01,8824
[DIVADM].[COD_SUBCIR].&[06D04C07S01],06D04C07S01,707
[DIVADM].[COD_SUBCIR].&[06D04C08S01],06D04C08S01,1167
[DIVADM].[COD_SUBCIR].&[06D04C09S01],06D04C09S01,2920
