[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[NAM_SUBCIR].&[BELLAVISTA 6],BELLAVISTA 6,4087
[DIVADM].[NAM_SUBCIR].&[BELLAVISTA DE CALDERON 1],BELLAVISTA DE CALDERON 1,22617
[DIVADM].[NAM_SUBCIR].&[BELLAVISTA NORTE 1],BELLAVISTA NORTE 1,6283
[DIVADM].[NAM_SUBCIR].&[BELLAVISTA NORTE 2],BELLAVISTA NORTE 2,12073
[DIVADM].[NAM_SUBCIR].&[BETHLEMITAS 1],BETHLEMITAS 1,16897
[DIVADM].[NAM_SUBCIR].&[BETHLEMITAS 2],BETHLEMITAS 2,2360
[DIVADM].[NAM_SUBCIR].&[BIBLIAN 1],BIBLIAN 1,16457
[DIVADM].[NAM_SUBCIR].&[BICENTENARIO 1],BICENTENARIO 1,5152
[DIVADM].[NAM_SUBCIR].&[BICENTENARIO 2],BICENTENARIO 2,16215
[DIVADM].[NAM_SUBCIR].&[BOCA DE BIGUA 1],BOCA DE BIGUA 1,1010
[DIVADM].[NAM_SUBCIR].&[BOCANA DE BUA 1],BOCANA DE BUA 1,586
[DIVADM].[NAM_SUBCIR].&[BOLASPAMBA 1],BOLASPAMBA 1,99
[DIVADM].[NAM_SUBCIR].&[BOLICHE 1],BOLICHE 1,6339
[DIVADM].[NAM_SUBCIR].&[BOLIVAR 1],BOLIVAR 1,19492
[DIVADM].[NAM_SUBCIR].&[BOLIVAR 2],BOLIVAR 2,2464
[DIVADM].[NAM_SUBCIR].&[BOMBOIZA 1],BOMBOIZA 1,4341
[DIVADM].[NAM_SUBCIR].&[BOMBOLI 1],BOMBOLI 1,58724
[DIVADM].[NAM_SUBCIR].&[BOMBOLI 2],BOMBOLI 2,14045
[DIVADM].[NAM_SUBCIR].&[BORBON 1],BORBON 1,9971
[DIVADM].[NAM_SUBCIR].&[BORBON 2],BORBON 2,62
[DIVADM].[NAM_SUBCIR].&[BORBON 3],BORBON 3,244
[DIVADM].[NAM_SUBCIR].&[BOYACA 1],BOYACA 1,583
[DIVADM].[NAM_SUBCIR].&[BUCAY 1],BUCAY 1,12667
[DIVADM].[NAM_SUBCIR].&[BUENA FE ESTE 1],BUENA FE ESTE 1,19151
[DIVADM].[NAM_SUBCIR].&[BUENA FE ESTE 2],BUENA FE ESTE 2,20675
