[DIVADM].[OBJECTID].[OBJECTID].[MEMBER_UNIQUE_NAME],[DIVADM].[OBJECTID].[OBJECTID].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[OBJECTID].&[2.4935E4],24935,25511
[DIVADM].[OBJECTID].&[2.4936E4],24936,21195
[DIVADM].[OBJECTID].&[2.4937E4],24937,15544
[DIVADM].[OBJECTID].&[2.4938E4],24938,49580
[DIVADM].[OBJECTID].&[2.4939E4],24939,24518
[DIVADM].[OBJECTID].&[2.494E4],24940,38505
[DIVADM].[OBJECTID].&[2.4941E4],24941,11122
[DIVADM].[OBJECTID].&[2.4942E4],24942,45036
[DIVADM].[OBJECTID].&[2.4943E4],24943,1278
[DIVADM].[OBJECTID].&[2.4944E4],24944,107
[DIVADM].[OBJECTID].&[2.4945E4],24945,441
[DIVADM].[OBJECTID].&[2.4946E4],24946,409
[DIVADM].[OBJECTID].&[2.4947E4],24947,476
[DIVADM].[OBJECTID].&[2.4948E4],24948,1407
[DIVADM].[OBJECTID].&[2.4949E4],24949,13915
[DIVADM].[OBJECTID].&[2.495E4],24950,3948
[DIVADM].[OBJECTID].&[2.4951E4],24951,8955
[DIVADM].[OBJECTID].&[2.4952E4],24952,6562
[DIVADM].[OBJECTID].&[2.4953E4],24953,1067
[DIVADM].[OBJECTID].&[2.4954E4],24954,9799
[DIVADM].[OBJECTID].&[2.4955E4],24955,2759
[DIVADM].[OBJECTID].&[2.4956E4],24956,772
[DIVADM].[OBJECTID].&[2.4957E4],24957,11728
[DIVADM].[OBJECTID].&[2.4958E4],24958,301
[DIVADM].[OBJECTID].&[2.4959E4],24959,9044
[DIVADM].[OBJECTID].&[2.496E4],24960,1667
[DIVADM].[OBJECTID].&[2.4961E4],24961,2673
[DIVADM].[OBJECTID].&[2.4962E4],24962,27801
[DIVADM].[OBJECTID].&[2.4963E4],24963,31001
[DIVADM].[OBJECTID].&[2.4964E4],24964,871
[DIVADM].[OBJECTID].&[2.4965E4],24965,14921
[DIVADM].[OBJECTID].&[2.4966E4],24966,10206
[DIVADM].[OBJECTID].&[2.4967E4],24967,728
[DIVADM].[OBJECTID].&[2.4968E4],24968,184
[DIVADM].[OBJECTID].&[2.4969E4],24969,1934
[DIVADM].[OBJECTID].&[2.497E4],24970,4856
[DIVADM].[OBJECTID].&[2.4971E4],24971,2569
[DIVADM].[OBJECTID].&[2.4972E4],24972,537
[DIVADM].[OBJECTID].&[2.4973E4],24973,73
[DIVADM].[OBJECTID].&[2.4974E4],24974,7252
[DIVADM].[OBJECTID].&[2.4975E4],24975,6088
[DIVADM].[OBJECTID].&[2.4976E4],24976,253
[DIVADM].[OBJECTID].&[2.4977E4],24977,19728
[DIVADM].[OBJECTID].&[2.4978E4],24978,13659
[DIVADM].[OBJECTID].&[2.4979E4],24979,18245
[DIVADM].[OBJECTID].&[2.498E4],24980,11605
[DIVADM].[OBJECTID].&[2.4981E4],24981,15953
[DIVADM].[OBJECTID].&[2.4982E4],24982,37199
[DIVADM].[OBJECTID].&[2.4983E4],24983,9917
[DIVADM].[OBJECTID].&[2.4984E4],24984,9401
[DIVADM].[OBJECTID].&[2.4985E4],24985,22307
[DIVADM].[OBJECTID].&[2.4986E4],24986,12007
[DIVADM].[OBJECTID].&[2.4987E4],24987,27651
[DIVADM].[OBJECTID].&[2.4988E4],24988,15003
[DIVADM].[OBJECTID].&[2.4989E4],24989,5491
[DIVADM].[OBJECTID].&[2.499E4],24990,27294
[DIVADM].[OBJECTID].&[2.4991E4],24991,22511
[DIVADM].[OBJECTID].&[2.4992E4],24992,11413
[DIVADM].[OBJECTID].&[2.4993E4],24993,6230
[DIVADM].[OBJECTID].&[2.4994E4],24994,6228
[DIVADM].[OBJECTID].&[2.4995E4],24995,19043
[DIVADM].[OBJECTID].&[2.4996E4],24996,19785
[DIVADM].[OBJECTID].&[2.4997E4],24997,3982
[DIVADM].[OBJECTID].&[2.4998E4],24998,20831
[DIVADM].[OBJECTID].&[2.4999E4],24999,31875
[DIVADM].[OBJECTID].&[2.5E4],25000,7046
[DIVADM].[OBJECTID].&[2.5001E4],25001,5355
[DIVADM].[OBJECTID].&[2.5002E4],25002,860
[DIVADM].[OBJECTID].&[2.5003E4],25003,8068
[DIVADM].[OBJECTID].&[2.5004E4],25004,8823
[DIVADM].[OBJECTID].&[2.5005E4],25005,8145
[DIVADM].[OBJECTID].&[2.5006E4],25006,3784
[DIVADM].[OBJECTID].&[2.5007E4],25007,20650
[DIVADM].[OBJECTID].&[2.5008E4],25008,370
[DIVADM].[OBJECTID].&[2.5009E4],25009,3532
[DIVADM].[OBJECTID].&[2.501E4],25010,5606
[DIVADM].[OBJECTID].&[2.5011E4],25011,482
[DIVADM].[OBJECTID].&[2.5012E4],25012,6126
[DIVADM].[OBJECTID].&[2.5013E4],25013,7608
[DIVADM].[OBJECTID].&[2.5014E4],25014,2970
[DIVADM].[OBJECTID].&[2.5015E4],25015,7550
[DIVADM].[OBJECTID].&[2.5016E4],25016,10152
[DIVADM].[OBJECTID].&[2.5017E4],25017,14848
[DIVADM].[OBJECTID].&[2.5018E4],25018,7360
[DIVADM].[OBJECTID].&[2.5019E4],25019,3952
[DIVADM].[OBJECTID].&[2.502E4],25020,1669
[DIVADM].[OBJECTID].&[2.5021E4],25021,5582
[DIVADM].[OBJECTID].&[2.5022E4],25022,8231
[DIVADM].[OBJECTID].&[2.5023E4],25023,5244
[DIVADM].[OBJECTID].&[2.5024E4],25024,10461
[DIVADM].[OBJECTID].&[2.5025E4],25025,3566
