[DIVADM].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_UNIQUE_NAME],[DIVADM].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[SHAPE_LENG].&[4.35629239232E3],"4356,29239232",13392
[DIVADM].[SHAPE_LENG].&[4.37296180277E3],"4372,96180277",23276
[DIVADM].[SHAPE_LENG].&[4.38211169444E3],"4382,11169444",34053
[DIVADM].[SHAPE_LENG].&[4.38512483691E3],"4385,12483691",10517
[DIVADM].[SHAPE_LENG].&[4.38850815929E3],"4388,50815929",8511
[DIVADM].[SHAPE_LENG].&[4.39071605385E3],"4390,71605385",29797
[DIVADM].[SHAPE_LENG].&[4.39092462702E3],"4390,92462702",21436
[DIVADM].[SHAPE_LENG].&[4.39338988644E3],"4393,38988644",13104
[DIVADM].[SHAPE_LENG].&[4.40009110421E3],"4400,09110421",10729
[DIVADM].[SHAPE_LENG].&[4.40672541943E3],"4406,72541943",22646
[DIVADM].[SHAPE_LENG].&[4.4125213949E3],"4412,5213949",29683
[DIVADM].[SHAPE_LENG].&[4.41271356688E3],"4412,71356688",22511
[DIVADM].[SHAPE_LENG].&[4.42387741718E3],"4423,87741718",29895
[DIVADM].[SHAPE_LENG].&[4.43964022738E3],"4439,64022738",11723
[DIVADM].[SHAPE_LENG].&[4.45779633421E3],"4457,79633421",26698
[DIVADM].[SHAPE_LENG].&[4.46431378351E3],"4464,31378351",5032
[DIVADM].[SHAPE_LENG].&[4.46833940463E3],"4468,33940463",16372
[DIVADM].[SHAPE_LENG].&[4.47050288966E3],"4470,50288966",22097
[DIVADM].[SHAPE_LENG].&[4.47191426882E3],"4471,91426882",4544
[DIVADM].[SHAPE_LENG].&[4.48061269636E3],"4480,61269636",16322
[DIVADM].[SHAPE_LENG].&[4.48547520994E3],"4485,47520994",14332
[DIVADM].[SHAPE_LENG].&[4.49203172515E3],"4492,03172515",11098
[DIVADM].[SHAPE_LENG].&[4.49640700748E3],"4496,40700748",22937
[DIVADM].[SHAPE_LENG].&[4.49811438774E3],"4498,11438774",10152
[DIVADM].[SHAPE_LENG].&[4.50534117614E3],"4505,34117614",7471
[DIVADM].[SHAPE_LENG].&[4.50785268348E3],"4507,85268348",16944
[DIVADM].[SHAPE_LENG].&[4.52747311703E3],"4527,47311703",16691
[DIVADM].[SHAPE_LENG].&[4.53105116968E3],"4531,05116968",14681
[DIVADM].[SHAPE_LENG].&[4.53428731299E3],"4534,28731299",23949
[DIVADM].[SHAPE_LENG].&[4.53583560593E3],"4535,83560593",9285
[DIVADM].[SHAPE_LENG].&[4.5475622757E3],"4547,5622757",15107
[DIVADM].[SHAPE_LENG].&[4.55240876146E3],"4552,40876146",12966
[DIVADM].[SHAPE_LENG].&[4.55937178032E3],"4559,37178032",13412
[DIVADM].[SHAPE_LENG].&[4.56271409866E3],"4562,71409866",10124
[DIVADM].[SHAPE_LENG].&[4.57064001209E3],"4570,64001209",26457
[DIVADM].[SHAPE_LENG].&[4.57492729129E3],"4574,92729129",16606
[DIVADM].[SHAPE_LENG].&[4.58227248304E3],"4582,27248304",32359
[DIVADM].[SHAPE_LENG].&[4.58326444603E3],"4583,26444603",30335
[DIVADM].[SHAPE_LENG].&[4.58354033588E3],"4583,54033588",11960
[DIVADM].[SHAPE_LENG].&[4.60017884366E3],"4600,17884366",9352
[DIVADM].[SHAPE_LENG].&[4.60635220769E3],"4606,35220769",16928
[DIVADM].[SHAPE_LENG].&[4.60658939071E3],"4606,58939071",12736
[DIVADM].[SHAPE_LENG].&[4.60729390261E3],"4607,29390261",9012
[DIVADM].[SHAPE_LENG].&[4.61075193572E3],"4610,75193572",16683
[DIVADM].[SHAPE_LENG].&[4.61608945997E3],"4616,08945997",18061
[DIVADM].[SHAPE_LENG].&[4.61799697644E3],"4617,99697644",24609
[DIVADM].[SHAPE_LENG].&[4.62452597031E3],"4624,52597031",11562
[DIVADM].[SHAPE_LENG].&[4.62873756002E3],"4628,73756002",4724
[DIVADM].[SHAPE_LENG].&[4.643688911E3],"4643,688911",18645
[DIVADM].[SHAPE_LENG].&[4.66455291497E3],"4664,55291497",24113
[DIVADM].[SHAPE_LENG].&[4.66462452814E3],"4664,62452814",14308
[DIVADM].[SHAPE_LENG].&[4.66551433127E3],"4665,51433127",11935
[DIVADM].[SHAPE_LENG].&[4.66682943376E3],"4666,82943376",22801
[DIVADM].[SHAPE_LENG].&[4.66757283932E3],"4667,57283932",6872
[DIVADM].[SHAPE_LENG].&[4.67176314066E3],"4671,76314066",25100
[DIVADM].[SHAPE_LENG].&[4.67462204548E3],"4674,62204548",19754
[DIVADM].[SHAPE_LENG].&[4.67672305436E3],"4676,72305436",12518
[DIVADM].[SHAPE_LENG].&[4.67935739893E3],"4679,35739893",16554
[DIVADM].[SHAPE_LENG].&[4.68758719983E3],"4687,58719983",23138
[DIVADM].[SHAPE_LENG].&[4.69689345142E3],"4696,89345142",7191
[DIVADM].[SHAPE_LENG].&[4.71774961687E3],"4717,74961687",25648
[DIVADM].[SHAPE_LENG].&[4.71825045215E3],"4718,25045215",18274
[DIVADM].[SHAPE_LENG].&[4.71877003486E3],"4718,77003486",17563
[DIVADM].[SHAPE_LENG].&[4.71949959646E3],"4719,49959646",22296
[DIVADM].[SHAPE_LENG].&[4.72296353197E3],"4722,96353197",8833
[DIVADM].[SHAPE_LENG].&[4.72575575303E3],"4725,75575303",14108
[DIVADM].[SHAPE_LENG].&[4.73960711928E3],"4739,60711928",11475
[DIVADM].[SHAPE_LENG].&[4.7600933743E3],"4760,0933743",10732
[DIVADM].[SHAPE_LENG].&[4.76269851542E3],"4762,69851542",6355
[DIVADM].[SHAPE_LENG].&[4.76324815596E3],"4763,24815596",8653
[DIVADM].[SHAPE_LENG].&[4.76576668977E3],"4765,76668977",30671
[DIVADM].[SHAPE_LENG].&[4.77567812667E3],"4775,67812667",23946
[DIVADM].[SHAPE_LENG].&[4.79129710384E3],"4791,29710384",15544
[DIVADM].[SHAPE_LENG].&[4.8035736579E3],"4803,5736579",37074
[DIVADM].[SHAPE_LENG].&[4.80540377685E3],"4805,40377685",8303
[DIVADM].[SHAPE_LENG].&[4.80572455366E3],"4805,72455366",6719
[DIVADM].[SHAPE_LENG].&[4.80902134478E3],"4809,02134478",5872
[DIVADM].[SHAPE_LENG].&[4.8105198902E3],"4810,5198902",27018
[DIVADM].[SHAPE_LENG].&[4.8221055567E3],"4822,1055567",3018
[DIVADM].[SHAPE_LENG].&[4.83496009784E3],"4834,96009784",33992
