[DIVADM].[OBJECTID_1].[OBJECTID_1].[MEMBER_UNIQUE_NAME],[DIVADM].[OBJECTID_1].[OBJECTID_1].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[OBJECTID_1].&[301],301,5601
[DIVADM].[OBJECTID_1].&[302],302,15774
[DIVADM].[OBJECTID_1].&[303],303,8801
[DIVADM].[OBJECTID_1].&[304],304,7585
[DIVADM].[OBJECTID_1].&[305],305,9697
[DIVADM].[OBJECTID_1].&[306],306,35591
[DIVADM].[OBJECTID_1].&[307],307,8248
[DIVADM].[OBJECTID_1].&[308],308,474
[DIVADM].[OBJECTID_1].&[309],309,3611
[DIVADM].[OBJECTID_1].&[310],310,3726
[DIVADM].[OBJECTID_1].&[311],311,448
[DIVADM].[OBJECTID_1].&[312],312,17187
[DIVADM].[OBJECTID_1].&[313],313,12346
[DIVADM].[OBJECTID_1].&[314],314,16742
[DIVADM].[OBJECTID_1].&[315],315,25511
[DIVADM].[OBJECTID_1].&[316],316,21195
[DIVADM].[OBJECTID_1].&[317],317,15544
[DIVADM].[OBJECTID_1].&[318],318,49580
[DIVADM].[OBJECTID_1].&[319],319,24518
[DIVADM].[OBJECTID_1].&[320],320,38505
[DIVADM].[OBJECTID_1].&[321],321,11122
[DIVADM].[OBJECTID_1].&[322],322,45036
[DIVADM].[OBJECTID_1].&[323],323,1278
[DIVADM].[OBJECTID_1].&[324],324,107
[DIVADM].[OBJECTID_1].&[325],325,441
[DIVADM].[OBJECTID_1].&[326],326,409
[DIVADM].[OBJECTID_1].&[327],327,476
[DIVADM].[OBJECTID_1].&[328],328,1407
[DIVADM].[OBJECTID_1].&[329],329,13915
[DIVADM].[OBJECTID_1].&[330],330,3948
[DIVADM].[OBJECTID_1].&[331],331,8955
[DIVADM].[OBJECTID_1].&[332],332,6562
[DIVADM].[OBJECTID_1].&[333],333,1067
[DIVADM].[OBJECTID_1].&[334],334,9799
[DIVADM].[OBJECTID_1].&[335],335,2759
[DIVADM].[OBJECTID_1].&[336],336,772
[DIVADM].[OBJECTID_1].&[337],337,11728
[DIVADM].[OBJECTID_1].&[338],338,301
[DIVADM].[OBJECTID_1].&[339],339,9044
[DIVADM].[OBJECTID_1].&[340],340,1667
[DIVADM].[OBJECTID_1].&[341],341,2673
[DIVADM].[OBJECTID_1].&[342],342,27801
[DIVADM].[OBJECTID_1].&[343],343,31001
[DIVADM].[OBJECTID_1].&[344],344,871
[DIVADM].[OBJECTID_1].&[345],345,14921
[DIVADM].[OBJECTID_1].&[346],346,10206
[DIVADM].[OBJECTID_1].&[347],347,728
[DIVADM].[OBJECTID_1].&[348],348,184
[DIVADM].[OBJECTID_1].&[349],349,1934
[DIVADM].[OBJECTID_1].&[350],350,4856
[DIVADM].[OBJECTID_1].&[351],351,2569
[DIVADM].[OBJECTID_1].&[352],352,537
[DIVADM].[OBJECTID_1].&[353],353,73
[DIVADM].[OBJECTID_1].&[354],354,7252
[DIVADM].[OBJECTID_1].&[355],355,6088
[DIVADM].[OBJECTID_1].&[356],356,253
[DIVADM].[OBJECTID_1].&[357],357,19728
[DIVADM].[OBJECTID_1].&[358],358,13659
[DIVADM].[OBJECTID_1].&[359],359,18245
[DIVADM].[OBJECTID_1].&[360],360,11605
[DIVADM].[OBJECTID_1].&[361],361,15953
[DIVADM].[OBJECTID_1].&[362],362,37199
[DIVADM].[OBJECTID_1].&[363],363,9917
[DIVADM].[OBJECTID_1].&[364],364,9401
[DIVADM].[OBJECTID_1].&[365],365,22307
[DIVADM].[OBJECTID_1].&[366],366,12007
[DIVADM].[OBJECTID_1].&[367],367,27651
[DIVADM].[OBJECTID_1].&[368],368,15003
[DIVADM].[OBJECTID_1].&[369],369,5491
[DIVADM].[OBJECTID_1].&[370],370,27294
[DIVADM].[OBJECTID_1].&[371],371,22511
[DIVADM].[OBJECTID_1].&[372],372,11413
[DIVADM].[OBJECTID_1].&[373],373,6230
[DIVADM].[OBJECTID_1].&[374],374,6228
[DIVADM].[OBJECTID_1].&[375],375,19043
[DIVADM].[OBJECTID_1].&[376],376,19785
[DIVADM].[OBJECTID_1].&[377],377,3982
[DIVADM].[OBJECTID_1].&[378],378,20831
[DIVADM].[OBJECTID_1].&[379],379,31875
[DIVADM].[OBJECTID_1].&[380],380,7046
[DIVADM].[OBJECTID_1].&[381],381,5355
[DIVADM].[OBJECTID_1].&[382],382,860
