[DIVPOL].[OBJECTID_1].[OBJECTID_1].[MEMBER_UNIQUE_NAME],[DIVPOL].[OBJECTID_1].[OBJECTID_1].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[OBJECTID_1].&[396],396,1856
[DIVPOL].[OBJECTID_1].&[397],397,3713
[DIVPOL].[OBJECTID_1].&[398],398,551
[DIVPOL].[OBJECTID_1].&[399],399,3033
[DIVPOL].[OBJECTID_1].&[400],400,11914
[DIVPOL].[OBJECTID_1].&[401],401,746
[DIVPOL].[OBJECTID_1].&[402],402,184712
[DIVPOL].[OBJECTID_1].&[403],403,2555
[DIVPOL].[OBJECTID_1].&[404],404,7760
[DIVPOL].[OBJECTID_1].&[405],405,5701
[DIVPOL].[OBJECTID_1].&[406],406,5228
[DIVPOL].[OBJECTID_1].&[407],407,2205
[DIVPOL].[OBJECTID_1].&[408],408,7246
[DIVPOL].[OBJECTID_1].&[409],409,10972
[DIVPOL].[OBJECTID_1].&[410],410,1098
[DIVPOL].[OBJECTID_1].&[411],411,2497
[DIVPOL].[OBJECTID_1].&[412],412,516
[DIVPOL].[OBJECTID_1].&[413],413,8151
[DIVPOL].[OBJECTID_1].&[414],414,4746
[DIVPOL].[OBJECTID_1].&[415],415,16
[DIVPOL].[OBJECTID_1].&[416],416,24
[DIVPOL].[OBJECTID_1].&[417],417,46
[DIVPOL].[OBJECTID_1].&[418],418,42652
[DIVPOL].[OBJECTID_1].&[419],419,4449
[DIVPOL].[OBJECTID_1].&[420],420,76
[DIVPOL].[OBJECTID_1].&[421],421,1795
[DIVPOL].[OBJECTID_1].&[422],422,4408
[DIVPOL].[OBJECTID_1].&[423],423,2709
[DIVPOL].[OBJECTID_1].&[424],424,381
[DIVPOL].[OBJECTID_1].&[425],425,64
[DIVPOL].[OBJECTID_1].&[426],426,472
[DIVPOL].[OBJECTID_1].&[427],427,28
[DIVPOL].[OBJECTID_1].&[428],428,47
[DIVPOL].[OBJECTID_1].&[429],429,10538
[DIVPOL].[OBJECTID_1].&[430],430,140
[DIVPOL].[OBJECTID_1].&[431],431,2541
[DIVPOL].[OBJECTID_1].&[432],432,6611
[DIVPOL].[OBJECTID_1].&[433],433,396
[DIVPOL].[OBJECTID_1].&[434],434,635
[DIVPOL].[OBJECTID_1].&[435],435,143573
[DIVPOL].[OBJECTID_1].&[436],436,3803
[DIVPOL].[OBJECTID_1].&[437],437,16709
[DIVPOL].[OBJECTID_1].&[438],438,140
[DIVPOL].[OBJECTID_1].&[439],439,2189
[DIVPOL].[OBJECTID_1].&[440],440,33
[DIVPOL].[OBJECTID_1].&[441],441,415
[DIVPOL].[OBJECTID_1].&[442],442,363
[DIVPOL].[OBJECTID_1].&[443],443,1439
[DIVPOL].[OBJECTID_1].&[444],444,2058
[DIVPOL].[OBJECTID_1].&[445],445,1152
[DIVPOL].[OBJECTID_1].&[446],446,1747
[DIVPOL].[OBJECTID_1].&[447],447,145
[DIVPOL].[OBJECTID_1].&[448],448,34
[DIVPOL].[OBJECTID_1].&[449],449,297
[DIVPOL].[OBJECTID_1].&[450],450,4
[DIVPOL].[OBJECTID_1].&[451],451,339
[DIVPOL].[OBJECTID_1].&[452],452,16
[DIVPOL].[OBJECTID_1].&[453],453,22289
[DIVPOL].[OBJECTID_1].&[454],454,1006
[DIVPOL].[OBJECTID_1].&[455],455,313
[DIVPOL].[OBJECTID_1].&[456],456,827
[DIVPOL].[OBJECTID_1].&[457],457,2620
[DIVPOL].[OBJECTID_1].&[458],458,8430
[DIVPOL].[OBJECTID_1].&[459],459,283
[DIVPOL].[OBJECTID_1].&[460],460,1037
[DIVPOL].[OBJECTID_1].&[461],461,589
[DIVPOL].[OBJECTID_1].&[462],462,7615
[DIVPOL].[OBJECTID_1].&[463],463,6571
[DIVPOL].[OBJECTID_1].&[464],464,880
[DIVPOL].[OBJECTID_1].&[465],465,403
[DIVPOL].[OBJECTID_1].&[466],466,746
[DIVPOL].[OBJECTID_1].&[467],467,397
[DIVPOL].[OBJECTID_1].&[468],468,677633
[DIVPOL].[OBJECTID_1].&[469],469,12754
[DIVPOL].[OBJECTID_1].&[470],470,7704
[DIVPOL].[OBJECTID_1].&[471],471,13995
[DIVPOL].[OBJECTID_1].&[472],472,7288
[DIVPOL].[OBJECTID_1].&[473],473,9531
[DIVPOL].[OBJECTID_1].&[474],474,2647
[DIVPOL].[OBJECTID_1].&[475],475,2383
[DIVPOL].[OBJECTID_1].&[476],476,2533
[DIVPOL].[OBJECTID_1].&[477],477,2751
[DIVPOL].[OBJECTID_1].&[478],478,478
[DIVPOL].[OBJECTID_1].&[479],479,3841162
[DIVPOL].[OBJECTID_1].&[480],480,4251
[DIVPOL].[OBJECTID_1].&[481],481,20849
[DIVPOL].[OBJECTID_1].&[482],482,2824
[DIVPOL].[OBJECTID_1].&[483],483,8556
[DIVPOL].[OBJECTID_1].&[484],484,249814
[DIVPOL].[OBJECTID_1].&[485],485,598475
[DIVPOL].[OBJECTID_1].&[486],486,6514
[DIVPOL].[OBJECTID_1].&[487],487,8910
[DIVPOL].[OBJECTID_1].&[488],488,12257
[DIVPOL].[OBJECTID_1].&[489],489,22850
