[DIVADM].[AREAKM].[AREAKM].[MEMBER_UNIQUE_NAME],[DIVADM].[AREAKM].[AREAKM].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[AREAKM].&[7.1072799E-1],"0,71072799",9394
[DIVADM].[AREAKM].&[7.1246898E-1],"0,71246898",3508
[DIVADM].[AREAKM].&[7.1466798E-1],"0,71466798",11758
[DIVADM].[AREAKM].&[7.16708E-1],"0,716708",37294
[DIVADM].[AREAKM].&[7.1738499E-1],"0,71738499",25570
[DIVADM].[AREAKM].&[7.1930599E-1],"0,71930599",77615
[DIVADM].[AREAKM].&[7.2086698E-1],"0,72086698",16346
[DIVADM].[AREAKM].&[7.2564298E-1],"0,72564298",16322
[DIVADM].[AREAKM].&[7.2947401E-1],"0,72947401",6705
[DIVADM].[AREAKM].&[7.3381299E-1],"0,73381299",23943
[DIVADM].[AREAKM].&[7.3546797E-1],"0,73546797",5387
[DIVADM].[AREAKM].&[7.3717999E-1],"0,73717999",20473
[DIVADM].[AREAKM].&[7.4030298E-1],"0,74030298",5173
[DIVADM].[AREAKM].&[7.40439E-1],"0,740439",25511
[DIVADM].[AREAKM].&[7.4389303E-1],"0,74389303",19745
[DIVADM].[AREAKM].&[7.4667901E-1],"0,74667901",61572
[DIVADM].[AREAKM].&[7.4819398E-1],"0,74819398",7471
[DIVADM].[AREAKM].&[7.5141698E-1],"0,75141698",29895
[DIVADM].[AREAKM].&[7.5421703E-1],"0,75421703",8723
[DIVADM].[AREAKM].&[7.5644499E-1],"0,75644499",44109
[DIVADM].[AREAKM].&[7.5678599E-1],"0,75678599",30671
[DIVADM].[AREAKM].&[7.5843E-1],"0,75843",8967
[DIVADM].[AREAKM].&[7.5889701E-1],"0,75889701",17704
[DIVADM].[AREAKM].&[7.6340598E-1],"0,76340598",55017
[DIVADM].[AREAKM].&[7.6578099E-1],"0,76578099",11299
[DIVADM].[AREAKM].&[7.6619101E-1],"0,76619101",16944
[DIVADM].[AREAKM].&[7.6806903E-1],"0,76806903",10729
