[DIVPOL].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_UNIQUE_NAME],[DIVPOL].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[SHAPE_LENG].&[4.1408E-1],"0,41408",22121
[DIVPOL].[SHAPE_LENG].&[4.1408447E-1],"0,41408447",317
[DIVPOL].[SHAPE_LENG].&[4.148327E-1],"0,4148327",933
[DIVPOL].[SHAPE_LENG].&[4.15079E-1],"0,415079",999
[DIVPOL].[SHAPE_LENG].&[4.1557623E-1],"0,41557623",9699
[DIVPOL].[SHAPE_LENG].&[4.158955E-1],"0,4158955",130
[DIVPOL].[SHAPE_LENG].&[4.1617936E-1],"0,41617936",217
[DIVPOL].[SHAPE_LENG].&[4.1711494E-1],"0,41711494",307
[DIVPOL].[SHAPE_LENG].&[4.1748972E-1],"0,41748972",412
[DIVPOL].[SHAPE_LENG].&[4.1876805E-1],"0,41876805",283
[DIVPOL].[SHAPE_LENG].&[4.1880559E-1],"0,41880559",277
[DIVPOL].[SHAPE_LENG].&[4.1913642E-1],"0,41913642",861
[DIVPOL].[SHAPE_LENG].&[4.1990471E-1],"0,41990471",1503
[DIVPOL].[SHAPE_LENG].&[4.2176889E-1],"0,42176889",2372
[DIVPOL].[SHAPE_LENG].&[4.2234983E-1],"0,42234983",7615
[DIVPOL].[SHAPE_LENG].&[4.2442467E-1],"0,42442467",389
[DIVPOL].[SHAPE_LENG].&[4.2444324E-1],"0,42444324",7397
[DIVPOL].[SHAPE_LENG].&[4.2453776E-1],"0,42453776",889
[DIVPOL].[SHAPE_LENG].&[4.2663508E-1],"0,42663508",335428
[DIVPOL].[SHAPE_LENG].&[4.2698172E-1],"0,42698172",2523
[DIVPOL].[SHAPE_LENG].&[4.286037E-1],"0,4286037",2541
[DIVPOL].[SHAPE_LENG].&[4.2898536E-1],"0,42898536",148
[DIVPOL].[SHAPE_LENG].&[4.3128376E-1],"0,43128376",1139
[DIVPOL].[SHAPE_LENG].&[4.3320046E-1],"0,43320046",26789
[DIVPOL].[SHAPE_LENG].&[4.3346985E-1],"0,43346985",16051
