[DIVPOL].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_PARROQ].&[050156],050156,9513
[DIVPOL].[DPA_PARROQ].&[050157],050157,3079
[DIVPOL].[DPA_PARROQ].&[050158],050158,3931
[DIVPOL].[DPA_PARROQ].&[050159],050159,10425
[DIVPOL].[DPA_PARROQ].&[050161],050161,16051
[DIVPOL].[DPA_PARROQ].&[050162],050162,4293
[DIVPOL].[DPA_PARROQ].&[050250],050250,50996
[DIVPOL].[DPA_PARROQ].&[050251],050251,2294
[DIVPOL].[DPA_PARROQ].&[050252],050252,591
[DIVPOL].[DPA_PARROQ].&[050350],050350,3815
[DIVPOL].[DPA_PARROQ].&[050351],050351,6246
[DIVPOL].[DPA_PARROQ].&[050352],050352,87
[DIVPOL].[DPA_PARROQ].&[050353],050353,290
[DIVPOL].[DPA_PARROQ].&[050450],050450,37182
[DIVPOL].[DPA_PARROQ].&[050451],050451,456
[DIVPOL].[DPA_PARROQ].&[050453],050453,1091
[DIVPOL].[DPA_PARROQ].&[050455],050455,2149
[DIVPOL].[DPA_PARROQ].&[050456],050456,947
[DIVPOL].[DPA_PARROQ].&[050457],050457,1416
[DIVPOL].[DPA_PARROQ].&[050458],050458,3489
[DIVPOL].[DPA_PARROQ].&[050550],050550,46645
[DIVPOL].[DPA_PARROQ].&[050551],050551,1618
[DIVPOL].[DPA_PARROQ].&[050552],050552,1836
[DIVPOL].[DPA_PARROQ].&[050553],050553,3770
[DIVPOL].[DPA_PARROQ].&[050554],050554,2264
[DIVPOL].[DPA_PARROQ].&[050555],050555,8001
[DIVPOL].[DPA_PARROQ].&[050650],050650,20131
[DIVPOL].[DPA_PARROQ].&[050651],050651,576
[DIVPOL].[DPA_PARROQ].&[050652],050652,1087
[DIVPOL].[DPA_PARROQ].&[050653],050653,411
[DIVPOL].[DPA_PARROQ].&[050750],050750,6694
[DIVPOL].[DPA_PARROQ].&[050751],050751,1283
[DIVPOL].[DPA_PARROQ].&[050752],050752,498
[DIVPOL].[DPA_PARROQ].&[050753],050753,593
[DIVPOL].[DPA_PARROQ].&[050754],050754,120
[DIVPOL].[DPA_PARROQ].&[060150],060150,453392
[DIVPOL].[DPA_PARROQ].&[060151],060151,589
[DIVPOL].[DPA_PARROQ].&[060152],060152,5864
[DIVPOL].[DPA_PARROQ].&[060153],060153,1983
[DIVPOL].[DPA_PARROQ].&[060154],060154,579
[DIVPOL].[DPA_PARROQ].&[060155],060155,12257
[DIVPOL].[DPA_PARROQ].&[060156],060156,2819
[DIVPOL].[DPA_PARROQ].&[060157],060157,1389
[DIVPOL].[DPA_PARROQ].&[060158],060158,1814
[DIVPOL].[DPA_PARROQ].&[060159],060159,1901
[DIVPOL].[DPA_PARROQ].&[060160],060160,3996
[DIVPOL].[DPA_PARROQ].&[060161],060161,15543
[DIVPOL].[DPA_PARROQ].&[060250],060250,12142
[DIVPOL].[DPA_PARROQ].&[060251],060251,1730
[DIVPOL].[DPA_PARROQ].&[060253],060253,666
[DIVPOL].[DPA_PARROQ].&[060254],060254,1315
[DIVPOL].[DPA_PARROQ].&[060255],060255,889
[DIVPOL].[DPA_PARROQ].&[060256],060256,181
[DIVPOL].[DPA_PARROQ].&[060257],060257,103
[DIVPOL].[DPA_PARROQ].&[060258],060258,112
[DIVPOL].[DPA_PARROQ].&[060259],060259,1461
[DIVPOL].[DPA_PARROQ].&[060260],060260,3016
[DIVPOL].[DPA_PARROQ].&[060350],060350,10426
[DIVPOL].[DPA_PARROQ].&[060351],060351,130
[DIVPOL].[DPA_PARROQ].&[060352],060352,2201
