[DIVPOL].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_PARROQ].&[190158],190158,1567
[DIVPOL].[DPA_PARROQ].&[190250],190250,7229
[DIVPOL].[DPA_PARROQ].&[190251],190251,497
[DIVPOL].[DPA_PARROQ].&[190252],190252,53
[DIVPOL].[DPA_PARROQ].&[190254],190254,120
[DIVPOL].[DPA_PARROQ].&[190256],190256,150
[DIVPOL].[DPA_PARROQ].&[190259],190259,87
[DIVPOL].[DPA_PARROQ].&[190350],190350,3686
[DIVPOL].[DPA_PARROQ].&[190351],190351,544
[DIVPOL].[DPA_PARROQ].&[190352],190352,196
[DIVPOL].[DPA_PARROQ].&[190450],190450,2569
[DIVPOL].[DPA_PARROQ].&[190451],190451,537
[DIVPOL].[DPA_PARROQ].&[190452],190452,73
[DIVPOL].[DPA_PARROQ].&[190550],190550,19728
[DIVPOL].[DPA_PARROQ].&[190551],190551,1183
[DIVPOL].[DPA_PARROQ].&[190553],190553,3970
[DIVPOL].[DPA_PARROQ].&[190650],190650,12393
[DIVPOL].[DPA_PARROQ].&[190651],190651,1200
[DIVPOL].[DPA_PARROQ].&[190652],190652,1266
[DIVPOL].[DPA_PARROQ].&[190653],190653,922
[DIVPOL].[DPA_PARROQ].&[190750],190750,5005
[DIVPOL].[DPA_PARROQ].&[190752],190752,1014
[DIVPOL].[DPA_PARROQ].&[190753],190753,1233
[DIVPOL].[DPA_PARROQ].&[190850],190850,5330
[DIVPOL].[DPA_PARROQ].&[190851],190851,253
[DIVPOL].[DPA_PARROQ].&[190852],190852,298
[DIVPOL].[DPA_PARROQ].&[190853],190853,758
[DIVPOL].[DPA_PARROQ].&[190854],190854,92
[DIVPOL].[DPA_PARROQ].&[190950],190950,5178
[DIVPOL].[DPA_PARROQ].&[190951],190951,148
[DIVPOL].[DPA_PARROQ].&[190952],190952,178
[DIVPOL].[DPA_PARROQ].&[200150],200150,29427
[DIVPOL].[DPA_PARROQ].&[200151],200151,1807
[DIVPOL].[DPA_PARROQ].&[200152],200152,17
[DIVPOL].[DPA_PARROQ].&[200250],200250,7311
[DIVPOL].[DPA_PARROQ].&[200251],200251,300
[DIVPOL].[DPA_PARROQ].&[200350],200350,26590
[DIVPOL].[DPA_PARROQ].&[200351],200351,4131
[DIVPOL].[DPA_PARROQ].&[200352],200352,3104
[DIVPOL].[DPA_PARROQ].&[210150],210150,184712
[DIVPOL].[DPA_PARROQ].&[210152],210152,2555
[DIVPOL].[DPA_PARROQ].&[210153],210153,7760
[DIVPOL].[DPA_PARROQ].&[210155],210155,5701
[DIVPOL].[DPA_PARROQ].&[210156],210156,5228
[DIVPOL].[DPA_PARROQ].&[210157],210157,2205
[DIVPOL].[DPA_PARROQ].&[210158],210158,7246
[DIVPOL].[DPA_PARROQ].&[210160],210160,277
[DIVPOL].[DPA_PARROQ].&[210250],210250,10972
[DIVPOL].[DPA_PARROQ].&[210251],210251,1098
[DIVPOL].[DPA_PARROQ].&[210252],210252,2497
[DIVPOL].[DPA_PARROQ].&[210254],210254,516
[DIVPOL].[DPA_PARROQ].&[210350],210350,8151
[DIVPOL].[DPA_PARROQ].&[210351],210351,4746
[DIVPOL].[DPA_PARROQ].&[210352],210352,16
[DIVPOL].[DPA_PARROQ].&[210353],210353,24
[DIVPOL].[DPA_PARROQ].&[210354],210354,46
[DIVPOL].[DPA_PARROQ].&[210450],210450,42652
[DIVPOL].[DPA_PARROQ].&[210451],210451,4449
[DIVPOL].[DPA_PARROQ].&[210452],210452,76
[DIVPOL].[DPA_PARROQ].&[210453],210453,1795
[DIVPOL].[DPA_PARROQ].&[210454],210454,4408
[DIVPOL].[DPA_PARROQ].&[210455],210455,2709
[DIVPOL].[DPA_PARROQ].&[210550],210550,381
[DIVPOL].[DPA_PARROQ].&[210551],210551,64
[DIVPOL].[DPA_PARROQ].&[210552],210552,472
[DIVPOL].[DPA_PARROQ].&[210553],210553,28
[DIVPOL].[DPA_PARROQ].&[210554],210554,47
[DIVPOL].[DPA_PARROQ].&[210650],210650,10538
[DIVPOL].[DPA_PARROQ].&[210651],210651,140
[DIVPOL].[DPA_PARROQ].&[210652],210652,2541
[DIVPOL].[DPA_PARROQ].&[210750],210750,6611
[DIVPOL].[DPA_PARROQ].&[210751],210751,396
[DIVPOL].[DPA_PARROQ].&[210752],210752,635
[DIVPOL].[DPA_PARROQ].&[220150],220150,143573
[DIVPOL].[DPA_PARROQ].&[220151],220151,3803
[DIVPOL].[DPA_PARROQ].&[220152],220152,16709
[DIVPOL].[DPA_PARROQ].&[220153],220153,140
[DIVPOL].[DPA_PARROQ].&[220154],220154,2189
[DIVPOL].[DPA_PARROQ].&[220155],220155,33
[DIVPOL].[DPA_PARROQ].&[220156],220156,415
[DIVPOL].[DPA_PARROQ].&[220157],220157,363
[DIVPOL].[DPA_PARROQ].&[220158],220158,1439
[DIVPOL].[DPA_PARROQ].&[220159],220159,2058
[DIVPOL].[DPA_PARROQ].&[220160],220160,1152
[DIVPOL].[DPA_PARROQ].&[220161],220161,1747
[DIVPOL].[DPA_PARROQ].&[220250],220250,145
[DIVPOL].[DPA_PARROQ].&[220251],220251,34
[DIVPOL].[DPA_PARROQ].&[220252],220252,297
[DIVPOL].[DPA_PARROQ].&[220253],220253,4
[DIVPOL].[DPA_PARROQ].&[220254],220254,339
[DIVPOL].[DPA_PARROQ].&[220255],220255,16
[DIVPOL].[DPA_PARROQ].&[220350],220350,22289
[DIVPOL].[DPA_PARROQ].&[220351],220351,1006
[DIVPOL].[DPA_PARROQ].&[220352],220352,313
[DIVPOL].[DPA_PARROQ].&[220353],220353,827
[DIVPOL].[DPA_PARROQ].&[220354],220354,2620
[DIVPOL].[DPA_PARROQ].&[220355],220355,8430
[DIVPOL].[DPA_PARROQ].&[220356],220356,283
[DIVPOL].[DPA_PARROQ].&[220357],220357,1037
[DIVPOL].[DPA_PARROQ].&[220358],220358,589
[DIVPOL].[DPA_PARROQ].&[220450],220450,7615
[DIVPOL].[DPA_PARROQ].&[220451],220451,6571
[DIVPOL].[DPA_PARROQ].&[220452],220452,880
[DIVPOL].[DPA_PARROQ].&[220453],220453,403
[DIVPOL].[DPA_PARROQ].&[220454],220454,746
[DIVPOL].[DPA_PARROQ].&[220455],220455,397
[DIVPOL].[DPA_PARROQ].&[230151],230151,12754
[DIVPOL].[DPA_PARROQ].&[230152],230152,7704
[DIVPOL].[DPA_PARROQ].&[230153],230153,13995
[DIVPOL].[DPA_PARROQ].&[230154],230154,7288
[DIVPOL].[DPA_PARROQ].&[230155],230155,9531
[DIVPOL].[DPA_PARROQ].&[230156],230156,2647
[DIVPOL].[DPA_PARROQ].&[230157],230157,2383
[DIVPOL].[DPA_PARROQ].&[230250],230250,62472
[DIVPOL].[DPA_PARROQ].&[230251],230251,683307
[DIVPOL].[DPA_PARROQ].&[230252],230252,3840
[DIVPOL].[DPA_PARROQ].&[230253],230253,2824
[DIVPOL].[DPA_PARROQ].&[240150],240150,75244
[DIVPOL].[DPA_PARROQ].&[240151],240151,4678
[DIVPOL].[DPA_PARROQ].&[240152],240152,12941
[DIVPOL].[DPA_PARROQ].&[240153],240153,8109
[DIVPOL].[DPA_PARROQ].&[240154],240154,28056
[DIVPOL].[DPA_PARROQ].&[240155],240155,688
[DIVPOL].[DPA_PARROQ].&[240156],240156,4158
[DIVPOL].[DPA_PARROQ].&[240250],240250,118755
[DIVPOL].[DPA_PARROQ].&[240350],240350,66078
[DIVPOL].[DPA_PARROQ].&[240351],240351,11694
[DIVPOL].[DPA_PARROQ].&[240352],240352,23338
[DIVPOL].[DPA_PARROQ].&[900151],900151,2533
[DIVPOL].[DPA_PARROQ].&[900451],900451,2751
[DIVPOL].[DPA_PARROQ].&,,4343
