[DMH_INCIDENT].[GeoRefDiv_PolObjId].[GeoRefDiv_PolObjId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[GeoRefDiv_PolObjId].[GeoRefDiv_PolObjId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[282],282,75
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[283],283,302
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[284],284,6643
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[285],285,12128
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[286],286,1030
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[287],287,2423
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[288],288,1349
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[289],289,4309
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[290],290,2687
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[291],291,15603
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[292],292,2917
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[293],293,719
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[294],294,4475
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[295],295,570
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[296],296,43887
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[297],297,45644
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[298],298,307
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[299],299,14347
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[300],300,335428
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[301],301,156923
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[302],302,69271
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[303],303,218
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[304],304,6504
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[305],305,26669
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[306],306,1190
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[307],307,6877
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[308],308,26488
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[309],309,8044
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[310],310,22218
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[311],311,6010
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[312],312,1374
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[313],313,8135
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[314],314,21588
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[315],315,3825
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[316],316,2181
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[317],317,1048
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[318],318,35460
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[319],319,21729
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[320],320,51986
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[321],321,1771
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[322],322,24450
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[323],323,64561
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[324],324,2049
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[325],325,13723
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[326],326,105353
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[327],327,38004
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[328],328,6677
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[329],329,63052
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[330],330,6002
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[331],331,4973
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[332],332,1680
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[333],333,1325
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[334],334,4001
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[335],335,75523
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[336],336,28499
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[337],337,22121
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[338],338,1794
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[339],339,13505
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[340],340,23330
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[341],341,24630
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[342],342,2231
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[343],343,4487
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[344],344,2598
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[345],345,1909
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[346],346,8528
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[347],347,381
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[348],348,9474
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[349],349,4923
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[350],350,9786
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[351],351,12211
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[352],352,2567
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[353],353,16092
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[354],354,1443
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[355],355,25094
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[356],356,28007
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[357],357,4164
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[358],358,4390
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[359],359,2664
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[360],360,4716
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[361],361,3581
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[362],362,11759
